Country Name,Country Code,,,,,2015,2016,2017,2018,2019
Equatorial Guinea,GNQ,,,,,21.32,23.78,26.24,26.24,26.24
Greece,GRC,,,,,66.835,69.0879,70.5494,72.9521,75.6712
Grenada,GRD,,,,,53.81,55.8564,59.0717,59.0717,59.0717
Greenland,GRL,,,,,67.6004,68.5009,69.4825,69.4825,69.4825
Guatemala,GTM,,,,,28.8059,34.5093,65,65,65
Guam,GUM,,,,,73.14,77.01,80.5055,80.5055,80.5055
Guyana,GUY,,,,,34,35.66,37.3258,37.3258,37.3258
High income,HIC,,,,,79.37176179,83.73019836,84.64334104,86.37404374,
"Hong Kong SAR, China",HKG,,,,,84.9484,87.4794,89.4159,89.4159,91.7434
Honduras,HND,,,,,27.1,29.5,31.7,31.7,31.7
Heavily indebted poor countries (HIPC),HPC,,,,,14.6433585,15.35069562,19.35284418,19.27454262,
Croatia,HRV,,,,,69.8031,72.6973,67.0962,72.6888,79.0798
Haiti,HTI,,,,,12.1977,12.2326,12.3261,32.4736,32.4736
Hungary,HUN,,,,,72.8347,79.2594,76.7505,76.0744,80.3717
IBRD only,IBD,,,,,40.03624081,43.92293646,50.17001054,51.57537371,
IDA & IBRD total,IBT,,,,,34.69143127,37.52023357,43.32328575,44.3023007,
IDA total,IDA,,,,,18.26695075,18.10220107,22.85996864,22.82640097,
IDA blend,IDB,,,,,24.26261781,20.40517356,28.02556159,28.0411957,
Indonesia,IDN,,,,,21.9761,25.4474,32.2924,39.7875,47.6906
IDA only,IDX,,,,,15.23222701,16.93567077,20.24685667,20.18365272,
Isle of Man,IMN,,,,,,,,,
India,IND,,,,,17,22,34.45,34.45,34.45
Not classified,INX,,,,,,,,,
Ireland,IRL,,,,,83.4948,85.0111,84.114,84.5223,84.5223
"Iran, Islamic Rep.",IRN,,,,,45.335,53.2268,64.044,70.0046,70.0046
Iraq,IRQ,,,,,58,21.23,49.36,49.36,49.36
Iceland,ISL,,,,,98.2,98.24,98.26,99.011,99.011
Israel,ISR,,,,,77.3521,79.6531,81.5812,81.5812,86.7879
Italy,ITA,,,,,58.1417,61.3243,63.0773,74.3872,74.3872
Jamaica,JAM,,,,,42.2212,44.3669,55.0721,55.0721,55.0721
Jordan,JOR,,,,,60.1144,62.3022,66.7903,66.7903,66.7903
Japan,JPN,,,,,91.058,93.1827,84.5881,84.5881,84.5881
Kazakhstan,KAZ,,,,,70.8299,74.5877,76.4267,78.9039,81.8776
Kenya,KEN,,,,,16.5879,16.6,17.8271,17.8271,22.5651
Kyrgyz Republic,KGZ,,,,,30.247,37,38,38,38
Cambodia,KHM,,,,,6.43319,32.3985,32.4469,40,40
Kiribati,KIR,,,,,12.9975,13.7,14.5818,14.5818,14.5818
St. Kitts and Nevis,KNA,,,,,75.7,76.8177,80.7102,80.7102,80.7102
"Korea, Rep.",KOR,,,,,89.9,92.843,95.0694,95.8983,96.1576
Kuwait,KWT,,,,,72,78.3674,100,99.6,99.5427
Latin America & Caribbean (excluding high income),LAC,,,,,53.79045243,56.3874494,62.53342287,63.6659604,
Lao PDR,LAO,,,,,18.2,21.87,25.5104,25.5104,25.5104
Lebanon,LBN,,,,,74,76.11,78.1808,78.1808,78.1808
Liberia,LBR,,,,,33,7.31911,7.98448,7.98448,7.98448
Libya,LBY,,,,,19.0161,20.2722,21.7589,21.7589,21.7589
St. Lucia,LCA,,,,,42.5309,46.7291,50.8152,50.8152,50.8152
Latin America & Caribbean,LCN,,,,,54.61535508,57.35459106,63.21821957,64.29410918,
Least developed countries: UN classification,LDC,,,,,13.70016221,15.06093437,18.24970467,18.23371492,
Low income,LIC,,,,,11.72792354,12.34852138,15.14374084,15.93428083,
Liechtenstein,LIE,,,,,96.6412,98.0939,98.1,98.1,98.1
Sri Lanka,LKA,,,,,12.1,16.4,34.1133,34.1133,34.1133
Lower middle income,LMC,,,,,22.61714262,26.10698543,34.93073936,35.60615807,
Low & middle income,LMY,,,,,34.11182506,36.91139191,42.76691203,43.89879756,
Lesotho,LSO,,,,,25,27.36,29,29,29
Late-demographic dividend,LTE,,,,,52.78864727,56.12961306,58.59172286,60.40702122,
Lithuania,LTU,,,,,71.378,74.3766,77.6153,79.7226,81.5819
Luxembourg,LUX,,,,,96.38,98.1367,97.363,97.0613,97.0613
Latvia,LVA,,,,,79.2006,79.8421,80.1141,83.5772,86.1355
"Macao SAR, China",MAC,,,,,77.6001,81.643,83.1741,83.7941,86.4679
St. Martin (French part),MAF,,,,,,,,,
Morocco,MAR,,,,,57.08,58.2712,61.7622,64.8039,74.3763
Monaco,MCO,,,,,93.3633,95.2082,97.053,97.053,97.053
Moldova,MDA,,,,,69,71,76.1245,76.1245,76.1245
Madagascar,MDG,,,,,4.17397,4.71366,9.8,9.8,9.8
Maldives,MDV,,,,,54.462,59.0926,63.1857,63.1857,63.1857
Middle East & North Africa,MEA,,,,,47.92011294,48.49470035,56.21577228,60.0251192,
Mexico,MEX,,,,,57.431,59.5404,63.8522,65.7726,70.0699
Marshall Islands,MHL,,,,,19.2824,29.7878,38.7012,38.7012,38.7012
Middle income,MIC,,,,,36.54084278,39.61512234,45.85119518,46.94369251,
North Macedonia,MKD,,,,,70.3802,72.1568,74.5168,79.1678,79.1678
Mali,MLI,,,,,10.33,11.1122,13,13,13
Malta,MLT,,,,,75.96,78.0751,81.0119,81.4031,85.7786
Myanmar,MMR,,,,,21.7258,25.0733,30.6782,30.6782,30.6782
Middle East & North Africa (excluding high income),MNA,,,,,43.22793258,43.21821956,51.16231399,54.50948186,
Montenegro,MNE,,,,,68.1196,69.8816,71.2723,71.5173,73.4767
Mongolia,MNG,,,,,22.5,22.2658,23.7143,23.7143,51.08
Northern Mariana Islands,MNP,,,,,,,,,
Mozambique,MOZ,,,,,16.9335,17.5212,10,10,10
Mauritania,MRT,,,,,15.1991,18,20.801,20.801,20.801
Mauritius,MUS,,,,,50.1393,52.1913,55.4032,58.5962,63.9999
Malawi,MWI,,,,,5.3,11.47,13.7822,13.7822,13.7822
Malaysia,MYS,,,,,71.0641,78.7883,80.1405,81.2017,84.2132
North America,NAC,,,,,76.11729163,86.11497798,87.6470387,87.6480789,
Namibia,NAM,,,,,25.6879,31.0333,51,51,51
New Caledonia,NCL,,,,,74.0018,74.0018,82.0058,82.0058,82.0058
Niger,NER,,,,,2.47622,4.32276,10.2243,5.25049,5.25049
Nigeria,NGA,,,,,36,25.67,42,42,42
Nicaragua,NIC,,,,,19.7043,24.5718,27.863,27.863,27.863
Netherlands,NLD,,,,,91.7241,90.411,93.1973,94.7121,93.2886
Norway,NOR,,,,,96.8103,97.2982,96.3576,96.4917,98
Nepal,NPL,,,,,17.5816,19.6888,34,34,34
Nauru,NRU,,,,,54,54,57,57,57
New Zealand,NZL,,,,,88.2229,88.4702,90.8111,90.8111,90.8111
OECD members,OED,,,,,75.75610747,79.89646852,81.00660989,82.66070253,
Oman,OMN,,,,,73.53,76.8454,80.1856,80.1856,92.4084
Other small states,OSS,,,,,43.65187384,46.2948388,52.85004477,53.83100026,
Pakistan,PAK,,,,,14,12.3854,15.51,15.51,17.0709
Panama,PAN,,,,,51.2054,54,57.8651,57.8651,63.6284
Peru,PER,,,,,40.8526,45.4617,48.7276,52.5403,59.9505
Philippines,PHL,,,,,36,55.5,60.0548,60.0548,43.0266
Palau,PLW,,,,,,,,,
Papua New Guinea,PNG,,,,,7.9,9.60154,11.2092,11.2092,11.2092
Poland,POL,,,,,67.997,73.3007,75.9854,77.5417,84.5165
Pre-demographic dividend,PRE,,,,,20.26046115,16.50903153,24.06105524,23.74878223,
Puerto Rico,PRI,,,,,63.47,68.6438,70.5979,70.5979,70.8743
"Korea, Dem. People’s Rep.",PRK,,,,,0,0,0,,0
Portugal,PRT,,,,,68.6329,70.4236,73.7912,74.661,75.3464
Paraguay,PRY,,,,,49.72,53.4041,61.0758,64.9935,68.5176
West Bank and Gaza,PSE,,,,,57.4242,61.1784,65.2,64.4,70.6226
Pacific island small states,PSS,,,,,27.75548838,30.3411928,32.7039647,32.57868043,
Post-demographic dividend,PST,,,,,78.7188739,83.20460185,83.8207548,85.18706483,
French Polynesia,PYF,,,,,64.5602,68.4404,72.7039,72.7039,72.7039
Qatar,QAT,,,,,92.8848,95.1247,97.3888,99.6528,99.6528
Romania,ROU,,,,,55.7632,59.504,63.7473,70.6813,73.6575
Russian Federation,RUS,,,,,70.1,73.0914,76.0081,80.8647,82.6422
Rwanda,RWA,,,,,18,20,21.7676,21.7676,21.7676
South Asia,SAS,,,,,16.22347276,20.23984464,30.09918349,30.07748512,
Saudi Arabia,SAU,,,,,69.6162,74.8793,82.12,93.31,95.7247
Sudan,SDN,,,,,26.61,14.1,30.8703,30.8703,30.8703
Senegal,SEN,,,,,27,25.6648,46,46,46
Singapore,SGP,,,,,79.013,84.4523,84.4495,88.1656,88.9493
Solomon Islands,SLB,,,,,10.0005,11.0009,11.9242,11.9242,11.9242
Sierra Leone,SLE,,,,,6.34442,11.7732,9,9,9
El Salvador,SLV,,,,,26.8026,28.9971,33.8207,33.8207,33.8207
San Marino,SMR,,,,,49.6,49.6,60.1823,60.1823,60.1823
Somalia,SOM,,,,,1.76,1.88,2.00405,2.00405,2.00405
Serbia,SRB,,,,,65.317,67.0568,70.3308,73.3607,77.4168
Sub-Saharan Africa (excluding high income),SSA,,,,,20.70548506,19.29714376,25.37611508,25.08598551,
South Sudan,SSD,,,,,5.5,6.67973,7.97743,7.97743,7.97743
Sub-Saharan Africa,SSF,,,,,20.74592629,19.34122079,25.41533657,25.12839791,
Small states,SST,,,,,43.93602142,46.56835149,52.79654324,53.5226549,
Sao Tome and Principe,STP,,,,,25.82,28,29.9312,29.9312,29.9312
Suriname,SUR,,,,,42.7638,45.4,48.9452,48.9452,48.9452
Slovak Republic,SVK,,,,,77.6347,80.4759,81.6257,80.6603,82.8537
Slovenia,SVN,,,,,73.0987,75.4985,78.8854,79.75,83.1084
Sweden,SWE,,,,,90.6102,89.6509,95.5101,92.1417,94.4934
Eswatini,SWZ,,,,,25.643,28.5735,47,47,47
Sint Maarten (Dutch part),SXM,,,,,,,,,
Seychelles,SYC,,,,,54.2596,56.5147,58.7698,58.7698,58.7698
Syrian Arab Republic,SYR,,,,,29.9798,31.8696,34.2534,34.2534,34.2534
Turks and Caicos Islands,TCA,,,,,,,,,
Chad,TCD,,,,,3.5,5,6.5,6.5,6.5
East Asia & Pacific (IDA & IBRD countries),TEA,,,,,44.29046889,48.72884176,51.16874066,52.87793438,
Europe & Central Asia (IDA & IBRD countries),TEC,,,,,59.67191529,63.51474559,67.37070884,70.74319203,
Togo,TGO,,,,,7.12,11.31,12.3602,12.3602,12.3602
Thailand,THA,,,,,39.3161,47.505,52.8919,56.8175,66.6524
Tajikistan,TJK,,,,,18.98,20.47,21.96,21.96,21.96
Turkmenistan,TKM,,,,,14.9968,17.9903,21.251,21.251,21.251
Latin America & the Caribbean (IDA & IBRD countries),TLA,,,,,54.85715355,57.52465215,63.25988064,64.36330244,
Timor-Leste,TLS,,,,,23,25.2462,27.4927,27.4927,27.4927
Middle East & North Africa (IDA & IBRD countries),TMN,,,,,43.04918286,42.99069551,50.98323834,54.38236993,
Tonga,TON,,,,,38.6513,39.95,41.2487,41.2487,41.2487
South Asia (IDA & IBRD),TSA,,,,,16.22347276,20.23984464,30.09918349,30.07748512,
Sub-Saharan Africa (IDA & IBRD countries),TSS,,,,,20.74592629,19.34122079,25.41533657,25.12839791,
Trinidad and Tobago,TTO,,,,,69.1985,73.2969,77.3261,77.3261,77.3261
Tunisia,TUN,,,,,46.5,49.6,64.1908,64.1908,66.7
Turkey,TUR,,,,,53.745,58.3477,64.6846,71.0428,73.9767
Tuvalu,TUV,,,,,42.7,46.0092,49.3183,49.3183,49.3183
Tanzania,TZA,,,,,20,13,25,25,25
Uganda,UGA,,,,,17.8349,21.8762,23.7065,23.7065,23.7065
Ukraine,UKR,,,,,48.8846,53,58.8895,58.8895,58.8895
Upper middle income,UMC,,,,,50.15191665,52.91073519,56.66819754,58.27142373,
Uruguay,URY,,,,,64.5708,66.4,68.2797,68.2797,76.9496
United States,USA,,,,,74.5542,85.5444,87.2661,87.2661,87.2661
Uzbekistan,UZB,,,,,42.8,46.7913,52.3051,52.3051,52.3051
St. Vincent and the Grenadines,VCT,,,,,17.1321,20.6894,22.0043,22.3943,22.3943
"Venezuela, RB",VEN,,,,,64,60,72,72,72
British Virgin Islands,VGB,,,,,37.6,77.7014,77.7043,77.7043,77.7043
Virgin Islands (U.S.),VIR,,,,,54.8391,59.6083,64.3775,64.3775,64.3775
Vietnam,VNM,,,,,45,53,58.14,70.3496,68.7
Vanuatu,VUT,,,,,22.3514,24,25.7198,25.7198,25.7198
World,WLD,,,,,41.54624115,44.55310568,49.55565137,50.76308117,
Samoa,WSM,,,,,25.407,29.4117,33.6109,33.6109,33.6109
Kosovo,XKX,,,,,,,83.8936,89.443,89.443
"Yemen, Rep.",YEM,,,,,24.0854,24.5792,26.7184,26.7184,26.7184
South Africa,ZAF,,,,,51.9191,54,56.1674,56.1674,56.1674
Zambia,ZMB,,,,,21,25.5066,27.8526,14.3,14.3
Zimbabwe,ZWE,,,,,22.7428,23.12,27.0555,27.0555,27.0555
